;Jahr;Monat;2022.Einfuhr.von.Steinkohle.in.Tonnen ;2023.Einfuhr.von.Steinkohle.in.Tonnen ;%;;;;
1;2022;Januar;3604173;3239511;-0,101177718;;;;
2;2022;Februar;3022347;2626030;-0,131128888;;;;
3;2022;März;3194264;2883106;-0,097411485;;;;
4;2022;April;3167561;2101497;-0,336556739;;;;
5;2022;Mai;2766905;1972780;-0,287008408;;;;
6;2022;Juni;2706974;1843187;-0,319096896;;;;
7;2022;Juli;2708347;1720434;-0,364766036;;;;
8;2022;August;2440624;NA;NA;;;;
9;2022;September;2884964;NA;NA;;;;
10;2022;Oktober;3116957;NA;NA;;;;
11;2022;November;2708546;NA;NA;;;;
12;2022;Dezember;2977436;NA;NA;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
